Quarter,Year,Country,Delta_Interest_EU,Delta_Interest_JPY,Delta_Interest_US,ECB,Exchange_rate,FFR,FX_long,FX_short,Fin_depth,Fin_dev,GDP Growth,GDP per cap,Interest rate,JPY,Pol_Risk,Ratings FC,Ratings LC,VIX,WUI,market_volume_bonds,market_volume_loans,Amount,LCY,Currency,Domestic,Corporate,Industry,Bond,Tenor,Tenor_bracket,FCY
3,2010,India,3.2300000000000004,4.680000000000001,4.800000000000001,1.75,12.7102,0.18,0.0310701714249275,0.0209533485526215,22.3237750257634,0.353500694036484,5.0,9632.818,4.98,0.3,-0.726463437,13.0,13.0,23.89,16127.06,0.0,0.0442,0.414,0,USD,1,1,Energy,1,20.0,>10 yrs,0
4,2020,Brazil,4.23,4.180000000000001,4.390000000000001,0.25,21.6613,0.09,0.0373346500558611,0.0573684329653167,36.940246093683,0.328103870153427,-8.6,8742.217,4.48,0.3,-0.791369319,13.0,13.0,20.77,24511.59,3.3275,5.3634,0.0066,0,INR,1,1,Materials,1,20.0,5-10 yrs,0
2,2004,Brazil,3.0,5.9,5.0,3.0,44.9693,1.0,0.0057505252692212,0.0038952151958614,36.1918038545968,0.548834264278412,7.9,624.108,6.0,0.1,-1.28043294,11.0,9.0,16.3,14036.94,0.0,0.0,0.018,1,THB,1,1,Consumer staples,1,7.0,5-10 yrs,0
3,2021,Thailand,3.58619047619048,3.5361904761904803,3.73619047619048,0.25,13.9131,0.1,0.0374757234198189,0.0244948194393018,93.1672123451215,0.492002218961716,4.7,6983.509,3.83619047619048,0.3,-0.75098139,9.0,9.0,16.11,23529.34,0.8072999999999999,9.131900000000002,0.0323,1,MYR,1,1,Health care,1,5.0,0-5 yrs,1
2,2013,Malaysia,2.1433,2.8433,2.9933,1.0,3.1074,0.15,0.0151596656084678,0.0117620414193725,119.899693910412,0.607457637786865,4.7,10851.657,3.1433,0.3,0.051791593,14.0,14.0,16.28,21872.17,0.0,0.11,0.0018,1,INR,1,1,Energy,0,7.0,5-10 yrs,0
4,2021,Mexico,8.65,8.6,8.82,0.25,5.279,0.08,0.0377362921476987,0.0362392286677463,68.805224677681,0.654686987400055,4.8,8269.709,8.9,0.3,-0.41969654,9.0,9.0,31.12,23117.64,18.0905,22.582300000000004,0.5896,0,INR,0,1,Energy,0,5.0,0-5 yrs,0
3,2015,India,7.95,7.95,8.12,0.3,63.7809,0.13,0.0206627398130711,0.0073569766480708,51.8675240772184,0.449610769748688,8.0,1590.174,8.25,0.3,-0.954773545,11.0,11.0,31.4,22771.92,0.6608,7.0463,0.0141,1,SGD,1,1,Energy,1,5.0,>10 yrs,1
3,2011,Brazil,3.75,5.7,5.93,2.25,44.8109,0.07,0.0201206093766548,0.0127641880613923,51.2892331325282,0.484724432229996,5.2,1449.604,6.0,0.3,-1.32679534,11.0,11.0,31.82,19621.82,0.0,2.1797,1.25,1,INR,1,1,Utilities,1,7.0,>10 yrs,1
2,2021,Brazil,4.06,4.01,4.239999999999999,0.25,20.75,0.07,0.0367337506659681,0.0329931056367761,35.1504975428107,0.32231593132019,5.7,10180.182,4.31,0.3,-0.688360929,13.0,13.0,17.9,22550.07,5.812499999999999,7.418299999999999,0.0304,0,IDR,1,1,Materials,1,15.0,0-5 yrs,0
3,2004,Mexico,3.0,5.9,4.74,3.0,45.5027,1.26,0.0074726667244975,0.0120205586949467,36.1918038545968,0.548834264278412,7.9,624.108,6.0,0.1,-1.28043294,11.0,9.0,14.91,14326.84,0.0,0.0,0.309,1,ZAR,1,1,Utilities,0,6.0,5-10 yrs,0
1,2011,Thailand,-0.25,1.2,1.33,1.75,1.556747619,0.17,0.0407204737501125,0.0293721040448002,49.0564243726279,0.525431990623474,11.2,11221.402,1.5,0.3,-0.959997058,9.0,9.0,21.01,16075.88,0.0,0.3346,0.0094,0,BRL,1,1,Utilities,1,7.0,>10 yrs,0
3,2009,South Africa,4.25,5.7,5.84,1.75,47.6736,0.16,0.0191797148496955,0.0291361134453376,48.1244479112046,0.599957048892975,7.9,1096.637,6.0,0.3,-1.355547905,11.0,9.0,29.15,14065.57,0.0,0.2196999999999999,0.0659,1,MYR,1,1,Industrials,1,7.0,5-10 yrs,0
2,2021,Brazil,4.06,4.01,4.239999999999999,0.25,20.75,0.07,0.0367337506659681,0.0329931056367761,35.1504975428107,0.32231593132019,5.7,10180.182,4.31,0.3,-0.688360929,13.0,13.0,17.9,22550.07,5.812499999999999,7.418299999999999,0.0038,0,MXN,1,1,Materials,1,12.0,5-10 yrs,0
1,2017,Turkey,6.5,6.45,6.1,0.25,68.0474,0.65,0.0180534358876743,0.0087587520562151,48.794021399068,0.467568516731262,6.8,1957.97,6.75,0.3,-0.774099052,12.0,12.0,12.54,32886.18,2.5757000000000003,9.718,0.0515,1,USD,1,1,Utilities,0,18.0,>10 yrs,0
1,2016,India,7.5,7.45,7.41,0.25,67.3332,0.34,0.0202773900873297,0.0107911198987646,49.1012254191341,0.434415280818939,8.3,1714.28,7.75,0.3,-0.960426509,11.0,11.0,17.7,24088.85,0.8006,7.269099999999999,0.0023,1,ZAR,1,1,Energy,1,13.0,>10 yrs,1
4,2012,Malaysia,5.75,6.95,7.09,1.5,2.0269,0.16,0.041704523229849,0.0293824564863742,62.5192931966295,0.541808545589447,1.9,12782.844,7.25,0.3,0.045961641,12.0,12.0,16.64,22170.6,0.0,6.6149,0.0083,1,USD,1,1,Utilities,1,14.0,>10 yrs,1
1,2014,Brazil,8.25,8.7,8.93,0.75,62.1057,0.07,0.0228282057189707,0.0242085465764427,51.8821873589436,0.446743249893188,7.4,1559.864,9.0,0.3,-0.99791199,11.0,11.0,16.0,21355.19,0.0,6.3422,0.5,1,MYR,1,1,Utilities,0,6.0,>10 yrs,0
1,2008,Malaysia,5.182499999999999,9.4325,6.2425,5.0,6.9962,3.94,0.0357343050222078,0.0254084634888011,125.955880255506,0.469889134168625,3.2,6355.879,10.1825,0.75,0.049528994,13.0,15.0,26.28,12745.87,0.0,0.0,0.0524,0,USD,1,1,Utilities,0,19.0,>10 yrs,1
2,2022,India,7.59,7.54,7.51,0.25,20.5444,0.33,0.0337834860096256,0.0145197373893394,34.3332804057927,0.32231593132019,3.9,11259.75,7.84,0.3,-0.691959739,12.0,12.0,25.69,25434.66,15.8964,12.200300000000002,0.0075,1,THB,1,1,Consumer staples,1,10.0,0-5 yrs,0
4,2017,Indonesia,6.0,5.95,5.1,0.25,64.4775,1.15,0.0158604266088655,0.009828719224284,48.794021399068,0.467568516731262,6.8,1957.97,6.25,0.3,-0.774099052,12.0,12.0,11.43,23726.95,3.8595,13.271599999999998,1.1611,1,MXN,1,1,Utilities,1,5.0,>10 yrs,1
4,2021,India,5.37,5.32,5.54,0.25,20.0461,0.08,0.0362194753415904,0.0183829213713993,35.1504975428107,0.32231593132019,5.7,10180.182,5.62,0.3,-0.688360929,13.0,13.0,31.12,23117.64,10.3631,8.4653,0.0075,0,MYR,1,1,Materials,1,10.0,>10 yrs,0
3,2022,India,-0.625,0.575,-0.8049999999999999,1.5,34.9248,1.68,0.0147591645180106,0.0148946809124385,156.313811335128,0.723730862140656,2.5,7072.755,0.875,0.3,-0.383099318,13.0,13.0,25.56,20214.25,5.440700000000001,3.1556,0.0038,1,MYR,1,1,Consumer staples,1,4.0,0-5 yrs,0
1,2017,Turkey,6.5,6.45,6.1,0.25,68.0474,0.65,0.0180534358876743,0.0087587520562151,48.794021399068,0.467568516731262,6.8,1957.97,6.75,0.3,-0.774099052,12.0,12.0,12.54,32886.18,2.5757000000000003,9.718,0.1006,1,TRY,1,1,Utilities,0,12.0,5-10 yrs,0
4,2020,Thailand,4.23,4.180000000000001,4.390000000000001,0.25,21.6613,0.09,0.0373346500558611,0.0573684329653167,36.940246093683,0.328103870153427,-8.6,8742.217,4.48,0.3,-0.791369319,13.0,13.0,20.77,24511.59,3.3275,5.3634,0.0096,1,INR,1,1,Materials,0,6.0,5-10 yrs,0
4,2011,India,3.25,4.7,4.93,1.75,1.785924091,0.07,0.0376832694314663,0.0309670502344345,49.0564243726279,0.525431990623474,11.2,11221.402,5.0,0.3,-0.959997058,9.0,9.0,27.41,18218.82,0.0,0.4396,0.0107,0,USD,0,1,Utilities,1,14.0,>10 yrs,1
3,2021,Indonesia,4.0,3.95,4.15,0.25,73.5782,0.1,0.0136029002970013,0.010605910897718,50.1421581396974,0.582220196723938,9.7,2250.179,4.25,0.3,-0.691997945,11.0,11.0,16.11,23529.34,15.166,22.7818,0.0029,0,INR,1,1,Utilities,0,12.0,5-10 yrs,1
4,2019,Mexico,3.8964,3.8464,2.3164,0.25,4.1819,1.83,0.0207484317203659,0.0086282319837669,120.706946299114,0.577838599681854,4.4,11228.293,4.1464,0.3,0.146066397,14.0,14.0,14.91,27789.54,1.0984,0.1891,0.3305,1,MYR,1,1,Energy,1,2.0,5-10 yrs,0
1,2021,Malaysia,3.51,3.46,3.67,0.25,14084.0,0.09,0.0278276296364676,0.051393946761436,36.9908270556254,0.304108023643494,3.7,4358.187,3.76,0.3,-0.531467199,12.0,12.0,23.35,17911.83,4.301500000000001,7.4354,0.0038,0,USD,1,1,Consumer staples,1,8.0,0-5 yrs,0
3,2011,South Africa,3.75,5.7,5.93,2.25,44.8109,0.07,0.0201206093766548,0.0127641880613923,51.2892331325282,0.484724432229996,5.2,1449.604,6.0,0.3,-1.32679534,11.0,11.0,31.82,19621.82,0.0,2.1797,0.1247,1,INR,1,1,Energy,0,2.0,5-10 yrs,1
1,2014,India,7.342905499999999,7.792905499999999,8.022905499999998,0.75,12226.0,0.07,0.0245625748497693,0.0288240604739558,36.4235451552096,0.273522436618805,5.0,3532.669,8.092905499999999,0.3,-0.416824043,11.0,11.0,16.0,21355.19,0.35,0.8296,0.0059,0,MYR,1,1,Utilities,1,24.0,>10 yrs,1
3,2020,Thailand,1.75,1.7,1.91,0.25,5.1884,0.09,0.0409425257927123,0.0512907201672932,68.6961548524775,0.660737276077271,-3.3,7344.529,2.0,0.3,-0.445607245,9.0,9.0,26.12,33481.0,8.8283,20.5963,0.255,0,INR,1,1,Materials,1,9.404124616059676,>10 yrs,0
4,2022,Indonesia,8.07,10.52,7.74,2.75,20.0689,3.08,0.0335994533553141,0.0155898483378644,34.3332804057927,0.32231593132019,3.9,11259.75,10.82,0.3,-0.691959739,12.0,12.0,19.84,26940.26,19.7441,12.997600000000002,0.047,1,ZAR,1,1,Materials,1,5.0,0-5 yrs,0
2,2016,India,7.0,6.95,6.88,0.25,2.888391304,0.37,0.0245975936911397,0.0276379358840488,69.3730661738964,0.512970507144928,3.3,10891.19,7.25,0.3,-2.007214785,10.0,10.0,14.2,22924.96,0.0,3.6018000000000003,0.0013,0,USD,1,1,Utilities,1,5.0,>10 yrs,0
2,2022,India,4.8752380952381,4.8252380952381,4.7952380952381,0.25,14.9598,0.33,0.0375542411184405,0.0268317375921443,92.1800552382856,0.492002218961716,1.9,6684.479,5.1252380952381,0.3,-0.72211808,9.0,9.0,25.69,25434.66,1.3523,10.4236,0.1058,1,USD,1,1,Materials,0,3.0,0-5 yrs,0
2,2014,Turkey,10.6,10.7,10.91,0.4,2.3251,0.09,0.0313310026490252,0.0304787332109713,66.028510394056,0.564413249492645,0.5,12601.257,11.0,0.3,-0.070290133,12.0,12.0,11.58,20741.19,0.3918,14.7548,0.2704,1,BRL,1,1,Utilities,0,16.0,>10 yrs,0
2,2012,Indonesia,7.25,8.7,8.86,1.75,50.3635,0.14,0.023065045939258,0.0257253062680055,51.8885076473311,0.433532446622849,5.5,1434.018,9.0,0.3,-1.289309859,11.0,11.0,26.66,25315.06,0.0,4.017600000000001,0.024,1,USD,1,1,Utilities,0,2.0,>10 yrs,0
4,2016,Brazil,6.5,6.45,6.35,0.25,66.7138,0.4,0.0193739155575028,0.0111365615146764,49.1012254191341,0.434415280818939,8.3,1714.28,6.75,0.3,-0.960426509,11.0,11.0,14.07,30551.2,1.6697000000000002,9.643,0.0011,0,USD,1,1,Energy,0,10.0,5-10 yrs,0
1,2021,South Africa,2.15,2.1,2.31,0.25,5.3673,0.09,0.0388247374661458,0.0558006604750846,68.805224677681,0.654686987400055,4.8,8269.709,2.4,0.3,-0.41969654,9.0,9.0,23.35,17911.83,10.6132,20.7823,0.0281,0,MYR,0,1,Industrials,0,17.0,5-10 yrs,0
4,2010,Brazil,9.0,10.45,10.56,1.75,1.718,0.19,0.0389532674223987,0.0236612634879694,52.7646576277272,0.528451085090637,7.5,11578.7,10.75,0.3,0.013475911,11.0,11.0,21.36,14742.34,0.0,0.963,0.0158,1,MYR,1,1,Utilities,1,11.0,>10 yrs,1
4,2022,Mexico,8.07,10.52,7.74,2.75,20.0689,3.08,0.0335994533553141,0.0155898483378644,34.3332804057927,0.32231593132019,3.9,11259.75,10.82,0.3,-0.691959739,12.0,12.0,19.84,26940.26,19.7441,12.997600000000002,0.45,1,USD,1,1,Materials,1,7.0,5-10 yrs,1
2,2013,India,1.75,2.45,2.6,1.0,29.4948,0.15,0.0125632306186223,0.0094086160065189,142.363202683937,0.676355183124542,2.7,6168.268,2.75,0.3,-1.311682701,13.0,13.0,16.28,21872.17,0.0,0.7712,0.185,1,USD,1,1,Energy,0,13.0,5-10 yrs,0
3,2022,India,4.27772727272727,5.47772727272727,4.09772727272727,1.5,15.8144,1.68,0.0376150827709149,0.0263319362805003,92.1800552382856,0.492002218961716,1.9,6684.479,5.77772727272727,0.3,-0.72211808,9.0,9.0,25.56,20214.25,1.3523,10.4236,0.0414,0,MYR,1,1,Materials,0,2.0,0-5 yrs,0
4,2021,Malaysia,8.65,8.6,8.82,0.25,5.279,0.08,0.0377362921476987,0.0362392286677463,68.805224677681,0.654686987400055,4.8,8269.709,8.9,0.3,-0.41969654,9.0,9.0,31.12,23117.64,18.0905,22.582300000000004,0.875,1,ZAR,1,1,Utilities,0,3.0,0-5 yrs,0
4,2014,Mexico,8.7,8.7,8.91,0.3,60.8976,0.09,0.0219740822931492,0.0139438641365214,51.8821873589436,0.446743249893188,7.4,1559.864,9.0,0.3,-0.99791199,11.0,11.0,14.29,19159.67,0.0,6.7163,0.006,1,THB,1,1,Energy,0,18.0,5-10 yrs,0
2,2012,India,6.75,8.2,8.36,1.75,1.7953,0.14,0.0413955935035898,0.0373265682947401,62.5192931966295,0.541808545589447,1.9,12782.844,8.5,0.3,0.045961641,12.0,12.0,26.66,25315.06,0.0,6.2486,0.0054,1,INR,1,1,Utilities,0,7.0,>10 yrs,1
2,2021,Brazil,0.25,0.2,0.43,0.25,30.7948,0.07,0.0129413787611465,0.0155516195017659,164.075002469495,0.723730862140656,1.5,7237.318,0.5,0.3,-0.568726182,13.0,13.0,17.9,22550.07,2.8849,2.8027,0.045,0,INR,1,1,Industrials,1,10.0,5-10 yrs,0
1,2017,India,6.608244091,6.558244091000001,6.208244091,0.25,13343.0,0.65,0.0249941676170761,0.0214744277713819,38.7323495613041,0.277318447828293,5.1,3885.967,6.858244091,0.3,-0.5049389,11.0,11.0,12.54,32886.18,0.35,2.7297,0.0172,0,THB,1,1,Energy,1,19.0,5-10 yrs,0
2,2021,Brazil,4.06,4.01,4.239999999999999,0.25,20.75,0.07,0.0367337506659681,0.0329931056367761,35.1504975428107,0.32231593132019,5.7,10180.182,4.31,0.3,-0.688360929,13.0,13.0,17.9,22550.07,5.812499999999999,7.418299999999999,0.0172,0,USD,1,1,Consumer discretionary,0,3.0,5-10 yrs,0
4,2012,Brazil,5.75,6.95,7.09,1.5,2.0269,0.16,0.041704523229849,0.0293824564863742,62.5192931966295,0.541808545589447,1.9,12782.844,7.25,0.3,0.045961641,12.0,12.0,16.64,22170.6,0.0,6.6149,0.0236,1,JPY,1,1,Utilities,1,17.0,5-10 yrs,0
1,2017,India,6.5,6.45,6.1,0.25,68.0474,0.65,0.0180534358876743,0.0087587520562151,48.794021399068,0.467568516731262,6.8,1957.97,6.75,0.3,-0.774099052,12.0,12.0,12.54,32886.18,2.5757000000000003,9.718,0.0059,1,USD,1,1,Utilities,1,16.0,>10 yrs,0
4,2012,India,5.75,6.95,7.09,1.5,2.0269,0.16,0.041704523229849,0.0293824564863742,62.5192931966295,0.541808545589447,1.9,12782.844,7.25,0.3,0.045961641,12.0,12.0,16.64,22170.6,0.0,6.6149,0.5315,1,EUR,1,1,Utilities,0,15.0,>10 yrs,1
1,2012,India,7.75,9.2,9.42,1.75,51.0015,0.08,0.0223844668052482,0.0225768219227338,51.8885076473311,0.433532446622849,5.5,1434.018,9.5,0.3,-1.289309859,11.0,11.0,17.26,19113.69,0.0,3.7295,0.0163,1,BRL,1,1,Utilities,0,5.0,5-10 yrs,0
3,2011,Brazil,1.125,3.075,3.305,2.25,30.4995,0.07,0.0178132479117306,0.0141082102851523,130.672937960862,0.645829498767853,0.8,5492.115,3.375,0.3,-1.133533716,13.0,13.0,31.82,19621.82,0.0,0.1662,0.0616,1,USD,1,1,Energy,0,13.0,5-10 yrs,0
